year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2024,6,YV,Mesa Airlines Inc.,BDL,"Hartford, CT: Bradley International",73,9,5.5,0,1.07,0,2.44,0,0,664,239,0,39,0,386
2024,6,YV,Mesa Airlines Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",95,41,14.96,2.26,11.41,0,12.37,2,0,3232,685,260,389,0,1898
2024,6,YV,Mesa Airlines Inc.,BNA,"Nashville, TN: Nashville International",75,14,6.85,1,1.77,0,4.37,2,0,1297,807,23,70,0,397
2024,6,YV,Mesa Airlines Inc.,BRO,"Brownsville, TX: Brownsville South Padre Island International",21,4,1.88,1,0.12,0,1,0,0,157,50,25,3,0,79
2024,6,YV,Mesa Airlines Inc.,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",83,27,15.15,0.43,2.23,0,9.19,2,0,1972,939,9,147,0,877
2024,6,YV,Mesa Airlines Inc.,BTV,"Burlington, VT: Burlington International",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,6,YV,Mesa Airlines Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",36,5,3.36,0,1.01,0,0.64,0,0,510,295,0,23,0,192
2024,6,YV,Mesa Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",20,5,3,1,1,0,0,0,0,246,196,23,27,0,0
2024,6,YV,Mesa Airlines Inc.,BZN,"Bozeman, MT: Bozeman Yellowstone International",19,6,2.91,0,3.09,0,0,0,1,159,79,0,80,0,0
2024,6,YV,Mesa Airlines Inc.,CHS,"Charleston, SC: Charleston AFB/International",59,13,6.08,1.94,0.4,0,4.57,0,0,606,232,137,20,0,217
2024,6,YV,Mesa Airlines Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",76,12,7.01,0,2.08,0,2.9,0,0,1495,500,0,110,0,885
2024,6,YV,Mesa Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",120,23,10.9,1.39,4.51,0,6.19,1,0,2566,766,236,197,0,1367
2024,6,YV,Mesa Airlines Inc.,CMH,"Columbus, OH: John Glenn Columbus International",80,11,7.32,0,1.43,0,2.26,0,0,736,379,0,40,0,317
2024,6,YV,Mesa Airlines Inc.,COS,"Colorado Springs, CO: City of Colorado Springs Municipal",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,6,YV,Mesa Airlines Inc.,CRP,"Corpus Christi, TX: Corpus Christi International",115,39,13.24,2.97,3.11,0,19.68,3,0,4832,1212,173,299,0,3148
2024,6,YV,Mesa Airlines Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",130,34,13.25,2.36,4.39,0,14,0,0,1836,526,131,137,0,1042
2024,6,YV,Mesa Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,6,YV,Mesa Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",179,63,28.59,3.46,14.47,0,16.48,3,2,4722,1917,377,676,0,1752
2024,6,YV,Mesa Airlines Inc.,DRO,"Durango, CO: Durango La Plata County",10,1,1,0,0,0,0,0,0,22,22,0,0,0,0
2024,6,YV,Mesa Airlines Inc.,DSM,"Des Moines, IA: Des Moines International",28,8,3.94,0.41,2.22,0,1.43,1,0,411,198,13,65,0,135
